*sheet 1
57-1469 3 2.68
57-1474 5 0.48
57-1476 1 12.80
57-1477 10 11.88
57-1478 19 1.94
57-1480 1 11.60
57-1552 3 2.44
57-1553 11 0.44
57-1560 3 0.56
57-1614 6 2.70
57-1644 2 2.05
57-1710 1 1.40
57-1712 14 0.38
*sheet 28
57-1713 14 0.28
57-1722 3 0.78
57-1723 7 0.78
57-1724 10 8.40
57-1734 1 6.70
57-1735 7 2.66
57-1726 1 2.04
57-1779 12 0.39
57-1830 11 0.48
57-1845 2 33.60
57-1877 16 1.16
57-1880 5 0.87
57-1897 6 3.46
57-1917 3 12.03
57-1918 2 13.44
57-1919 4 13.44
57-1920 18 0.22
57-1945 7 0.60
57-1946 4 3.12
57-1947 1 36.80
57-1956 2 1.34
57-1962 8 0.23
57-1970 18 3.20
57-2116 53 0.44
57-2167 6 2.50
57-2159 1 1.30
57-2170 2 11.40
57-2176 8 23.52
57-2215 29 3.60
*sheet 29
57-2238 5 1.32
57-2239 6 1.44
57-2240 2 0.56
57-2244 18 0.11
57-2259 11 1.07
57-2331 3 0.56
57-2440 10 3.83
57-2450 16 1.19
57-2526 3 0.78
57-2536 3 1.92
57-2538 1 17.20
57-2595 10 0.88
57-2697 25 0.11
57-3661 7 0.34
57-3673 71 0.10
57-3755 2 37.68
57-3757 1 10.14
57-3760 1 55.44
57-3762 3 0.88
57-3860 3 11.52
57-3861 4 12.03
57-3862 2 17.28
57-3864 2 20.04
57-3889 3 16.03
57-3890 3 21.48
57-3891 1 16.70
57-3929 4 22.62
57-3931 36 2.91
57-3988 2 0.76
57-3989 6 1.86
57-3991 3 21.12
57-3994 3 12.03
*sheet 30
57-3997 2 18.0
57-3999 4 17.37
57-4048 10 1.32
57-4055 1 16.04
57-4113 48 0.83
57-4114 20 1.71
57-4158 1 44.60
57-4226 3 4.64
57-4302 1 12.50
57-4308 1 13.00
57-4364 1 18.82
57-4366 3 18.82
57-4376 2 34.22
57-4377 2 28.56
57-4384 2 28.67
57-4400 2 1.60
57-4403 4 2.40
57-4459 3 0.36
57-4503 1 19.00
57-4550 3 21.36
57-4575 7 2.20
57-4588 9 1.47
57-4590 2 3.83
57-4647 1 24.00
57-4657 4 22.18
57-4660 1 15.43
57-4661 1 15.99
57-4662 15 2.88
57-4754 11 0.74
*sheet 31
57-4763 5 2.40
57-4779 6 58.00
57-4783 1 15.41
57-4784 17 15.41
57-4787 6 28.67
57-4790 15 0.18
57-4791 5 20.00
57-4793 17 2.88
57-4794 4 1.17
57-4881 4 11.34
57-4889 1 26.25
57-4909 12 0.41
57-4979 9 1.68
57-5087 10 1.56
57-7009 1 2.57
